P,P_bayesian,P_subject,W,Y (Stimulas),Z
0.500,0.38,0.5,0.500,0,0.500
0.000,0.38,0.5,0.400,1,0.450
0.334,0.38,0.5,0.520,1,0.505
0.483,0.38,0.5,0.616,1,0.555
0.643,0.38,0.5,0.693,1,0.599
1.000,0.38,0.5,0.754,0,0.639
0.699,0.38,0.5,0.603,1,0.575
0.752,0.38,0.5,0.683,1,0.618
0.785,0.38,0.5,0.746,1,0.656
0.810,0.38,0.5,0.797,1,0.690
0.832,0.38,0.5,0.838,0,0.721
0.740,0.38,0.5,0.670,1,0.649
0.763,0.38,0.8,0.736,0,0.684
0.688,0.38,0.8,0.589,1,0.616
0.714,0.38,0.8,0.671,0,0.654
0.644,0.38,0.7,0.537,0,0.589
0.552,0.38,0.7,0.429,0,0.530
0.462,0.38,0.7,0.344,0,0.477
0.388,0.38,0.6,0.275,1,0.429
0.471,0.38,0.6,0.420,1,0.486
0.530,0.38,0.63,0.536,1,0.538
0.575,0.38,0.63,0.629,0,0.584
0.526,0.38,0.63,0.503,0,0.526
0.481,0.38,0.63,0.402,1,0.473
0.521,0.38,0.53,0.522,0,0.526
0.485,0.38,0.53,0.418,1,0.473
0.517,0.38,0.53,0.534,0,0.526
0.488,0.38,0.53,0.427,0,0.473
0.456,0.38,0.53,0.342,0,0.426
0.416,0.38,0.53,0.273,1,0.383
0.457,0.38,0.53,0.419,0,0.445
0.429,0.38,0.53,0.335,0,0.400
0.392,0.38,0.53,0.268,1,0.360
0.433,0.38,0.53,0.414,1,0.424
0.456,0.38,0.53,0.532,0,0.482
0.441,0.38,0.53,0.425,1,0.434
0.458,0.38,0.53,0.540,0,0.490
0.448,0.38,0.53,0.432,0,0.441
0.433,0.38,0.53,0.346,1,0.397
0.446,0.38,0.53,0.477,1,0.457
0.455,0.38,0.53,0.581,1,0.512
0.470,0.38,0.53,0.665,0,0.561
0.468,0.38,0.53,0.532,0,0.505
0.467,0.38,0.53,0.426,1,0.454
0.468,0.38,0.53,0.540,0,0.509
0.471,0.38,0.53,0.432,0,0.458
0.469,0.38,0.53,0.346,1,0.412
0.463,0.38,0.53,0.477,0,0.471
0.467,0.38,0.53,0.381,1,0.424
0.457,0.38,0.53,0.505,0,0.481
0.466,0.38,0.53,0.404,1,0.433
0.454,0.38,0.53,0.523,1,0.490
0.449,0.38,0.53,0.619,0,0.541
0.466,0.38,0.53,0.495,0,0.487
0.480,0.38,0.53,0.396,1,0.438
0.460,0.38,0.53,0.517,1,0.494
0.450,0.38,0.53,0.613,1,0.545
0.454,0.38,0.53,0.691,0,0.590
0.473,0.38,0.53,0.553,0,0.531
0.496,0.38,0.53,0.442,0,0.478
0.512,0.38,0.53,0.354,1,0.430
0.482,0.38,0.53,0.483,1,0.487
0.461,0.38,0.53,0.586,0,0.539
0.492,0.38,0.53,0.469,0,0.485
0.516,0.38,0.53,0.375,0,0.436
0.527,0.38,0.53,0.300,1,0.393
0.487,0.38,0.53,0.440,1,0.453
0.454,0.38,0.53,0.552,0,0.508
0.489,0.38,0.53,0.442,1,0.457
0.451,0.38,0.53,0.553,0,0.512
0.492,0.38,0.53,0.443,0,0.460
0.523,0.38,0.53,0.354,1,0.414
0.467,0.38,0.53,0.483,1,0.473
0.428,0.38,0.53,0.587,0,0.526
0.479,0.38,0.53,0.469,0,0.473
0.525,0.38,0.53,0.375,1,0.426
0.455,0.38,0.53,0.500,0,0.483
0.513,0.38,0.53,0.400,1,0.435
0.436,0.38,0.53,0.520,1,0.491
0.396,0.38,0.53,0.616,0,0.542
0.465,0.38,0.53,0.493,0,0.488
0.538,0.38,0.53,0.394,1,0.439
0.439,0.38,0.53,0.515,1,0.495
0.389,0.38,0.53,0.612,0,0.546
0.477,0.38,0.53,0.490,0,0.491
0.568,0.38,0.53,0.392,0,0.442
0.605,0.38,0.53,0.314,0,0.398
0.601,0.38,0.53,0.251,0,0.358
0.579,0.38,0.53,0.201,1,0.322
0.531,0.38,0.53,0.361,0,0.390
0.538,0.38,0.53,0.288,0,0.351
0.527,0.38,0.53,0.231,0,0.316
0.502,0.38,0.53,0.185,0,0.284
0.466,0.38,0.53,0.148,0,0.256
0.419,0.38,0.53,0.118,1,0.230
0.451,0.38,0.53,0.295,0,0.307
0.427,0.38,0.53,0.236,0,0.277
0.391,0.38,0.53,0.188,0,0.249
0.343,0.38,0.53,0.151,0,0.224
0.282,0.38,0.23,0.121,0,0.202
0.215,0.38,0.23,0.097,0,0.181
0.156,0.38,0.23,0.077,0,0.163
0.000,0.38,0.23,0.062,0,0.147
0.000,0.38,0.23,0.049,1,0.132
0.239,0.38,0.23,0.240,0,0.219
0.200,0.38,0.23,0.192,0,0.197
0.171,0.38,0.23,0.153,0,0.177
0.149,0.38,0.23,0.123,0,0.160
0.131,0.38,0.23,0.098,0,0.144
0.116,0.38,0.23,0.078,0,0.129
0.103,0.38,0.23,0.063,1,0.116
0.198,0.38,0.23,0.250,1,0.205
0.299,0.38,0.23,0.400,0,0.284
0.264,0.38,0.23,0.320,0,0.256
0.233,0.38,0.23,0.256,1,0.230
0.311,0.38,0.23,0.405,0,0.307
0.283,0.38,0.23,0.324,0,0.277
0.256,0.38,0.23,0.259,0,0.249
0.233,0.38,0.23,0.207,1,0.224
0.295,0.38,0.23,0.366,1,0.302
0.332,0.38,0.23,0.493,0,0.371
0.320,0.38,0.23,0.394,0,0.334
0.303,0.38,0.23,0.315,1,0.301
0.331,0.38,0.23,0.452,0,0.371
0.323,0.38,0.23,0.362,0,0.334
0.309,0.38,0.23,0.289,0,0.300
0.292,0.38,0.23,0.232,0,0.270
0.274,0.38,0.23,0.185,0,0.243
0.257,0.38,0.23,0.148,1,0.219
0.295,0.38,0.23,0.319,0,0.297
0.281,0.38,0.23,0.255,0,0.267
0.268,0.38,0.23,0.204,1,0.241
0.296,0.38,0.23,0.363,0,0.317
0.287,0.72,0.23,0.290,1,0.285
0.305,0.72,0.23,0.432,1,0.356
0.313,0.72,0.23,0.546,0,0.421
0.318,0.72,0.47,0.437,1,0.379
0.320,0.72,0.47,0.549,0,0.441
0.329,0.72,0.47,0.440,0,0.397
0.333,0.72,0.47,0.352,1,0.357
0.331,0.72,0.47,0.481,1,0.421
0.325,0.72,0.47,0.585,0,0.479
0.343,0.72,0.47,0.468,1,0.431
0.334,0.72,0.47,0.574,1,0.488
0.331,0.72,0.47,0.660,0,0.539
0.354,0.72,0.47,0.528,1,0.485
0.348,0.72,0.47,0.622,0,0.537
0.371,0.72,0.47,0.498,1,0.483
0.362,0.72,0.47,0.598,0,0.535
0.386,0.72,0.47,0.479,1,0.481
0.374,0.72,0.47,0.583,1,0.533
0.370,0.72,0.67,0.666,1,0.580
0.377,0.72,0.67,0.733,1,0.622
0.395,0.72,0.67,0.786,1,0.660
0.425,0.72,0.67,0.829,1,0.694
0.462,0.72,0.87,0.863,1,0.724
0.507,0.72,0.87,0.891,1,0.752
0.556,0.72,0.87,0.913,1,0.777
0.605,0.72,0.87,0.930,1,0.799
0.653,0.72,0.87,0.944,0,0.819
0.559,0.72,0.87,0.755,1,0.737
0.604,0.72,0.87,0.804,1,0.764
0.645,0.72,0.87,0.843,1,0.787
0.682,0.72,0.87,0.875,0,0.808
0.597,0.72,0.87,0.700,1,0.728
0.637,0.72,0.87,0.760,1,0.755
0.672,0.72,0.87,0.808,1,0.779
0.703,0.72,0.87,0.846,1,0.801
0.731,0.72,0.87,0.877,1,0.821
0.758,0.72,0.87,0.902,1,0.839
0.785,0.72,0.87,0.921,1,0.855
